point,date,dx,dy,h,h2,h3,h4,T,T20,T15,T10,T5,day,day1,day2
TP1,2006/1/1,0.485714,-0.314286,429.571,184532,7.93E+07,3.41E+10,3.06143,0.283333,4.4,5.794,-2.9875,0,0,1
TP1,2006/1/2,0.5,-0.2,429.55,184513,7.93E+07,3.40E+10,2.9,-0.54,3.57667,8.48,-4.95,1,0.693147,1.4427
TP1,2006/1/3,0.5,-0.35,428.938,183987,7.89E+07,3.39E+10,0.9375,0.132,2.75333,7.46,-2.264,2,1.09861,1.82048
TP1,2006/1/4,0.5,-0.5,428.325,183462,7.86E+07,3.37E+10,-1.025,0.804,1.93,6.44,0.422,3,1.38629,2.16404
TP1,2006/1/5,0.5,-0.65,427.712,182938,7.82E+07,3.35E+10,-2.9875,1.476,1.10667,5.42,3.108,4,1.60944,2.48534
TP1,2006/1/6,0.5,-0.8,427.1,182414,7.79E+07,3.33E+10,-4.95,2.148,0.283333,4.4,5.794,5,1.79176,2.79055
TP1,2006/1/7,0.5,-0.82,427.204,182503,7.80E+07,3.33E+10,-2.264,2.82,-0.54,3.57667,8.48,6,1.94591,3.08339
TP1,2006/1/8,0.5,-0.84,427.308,182592,7.80E+07,3.33E+10,0.422,2.87,0.132,2.75333,7.46,7,2.07944,3.36629
TP1,2006/1/9,0.5,-0.86,427.412,182681,7.81E+07,3.34E+10,3.108,2.92,0.804,1.93,6.44,8,2.19722,3.64096
TP1,2006/1/10,0.5,-0.88,427.516,182770,7.81E+07,3.34E+10,5.794,2.97,1.476,1.10667,5.42,9,2.30259,3.90865
TP1,2006/1/11,0.5,-0.9,427.62,182859,7.82E+07,3.34E+10,8.48,3.02,2.148,0.283333,4.4,10,2.3979,4.17032
TP1,2006/1/12,0.55,-0.725,427.52,182773,7.81E+07,3.34E+10,7.46,3.07,2.82,-0.54,3.57667,11,2.48491,4.42673
TP1,2006/1/13,0.6,-0.55,427.42,182688,7.81E+07,3.34E+10,6.44,3.12,2.87,0.132,2.75333,12,2.56495,4.67845
TP1,2006/1/14,0.65,-0.375,427.32,182602,7.80E+07,3.33E+10,5.42,2.954,2.92,0.804,1.93,13,2.63906,4.926
TP1,2006/1/15,0.7,-0.2,427.22,182517,7.80E+07,3.33E+10,4.4,2.788,2.97,1.476,1.10667,14,2.70805,5.16977
TP1,2006/1/16,0.666667,-0.233333,428.338,183474,7.86E+07,3.37E+10,3.57667,2.622,3.02,2.148,0.283333,15,2.77259,5.41011
TP1,2006/1/17,0.633333,-0.266667,429.457,184433,7.92E+07,3.40E+10,2.75333,2.456,3.07,2.82,-0.54,16,2.83321,5.6473
TP1,2006/1/18,0.6,-0.3,430.575,185395,7.98E+07,3.44E+10,1.93,2.29,3.12,2.87,0.132,17,2.89037,5.8816
TP1,2006/1/19,0.566667,-0.333333,431.693,186359,8.05E+07,3.47E+10,1.10667,2.0125,2.954,2.92,0.804,18,2.94444,6.11322
TP1,2006/1/20,0.533333,-0.366667,432.812,187326,8.11E+07,3.51E+10,0.283333,1.735,2.788,2.97,1.476,19,2.99573,6.34236
TP1,2006/1/21,0.5,-0.4,433.93,188295,8.17E+07,3.55E+10,-0.54,1.4575,2.622,3.02,2.148,20,3.04452,6.56917
TP1,2006/1/22,0.42,-0.38,434.284,188603,8.19E+07,3.56E+10,0.132,1.18,2.456,3.07,2.82,21,3.09104,6.79382
